time,cart_pos,pend_pos,cart_vel,pend_vel,force
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.544250976000000719e+00
9.993573168774584972e-03,1.579216118804644493e-04,3.141581789290941451e+00,3.131773944787894642e-02,-3.244933250944127649e-03,3.544250976000000719e+00
1.998714633754916994e-02,6.215934425211348986e-04,3.141506870080954528e+00,6.114024242210756854e-02,-1.274515095937173506e-02,3.544136096768885746e+00
2.998071950632375665e-02,1.376406150702276770e-03,3.141307178850000881e+00,8.953651303944754059e-02,-2.812730252425207217e-02,3.543780969609710674e+00
3.997429267509833989e-02,2.408416186501983157e-03,3.140925788389488993e+00,1.165707029409653595e-01,-4.900715390926063675e-02,3.543747631480535620e+00
4.996786584387293007e-02,3.704329206394658004e-03,3.140309664236844878e+00,1.423084488254975077e-01,-7.499101618934386759e-02,3.543102293245721235e+00
5.996143901264751330e-02,5.251448083211061879e-03,3.139409753355109967e+00,1.668036160816900315e-01,-1.056764745164259778e-01,3.542983404625934529e+00
6.995501218142209654e-02,7.037650477695222249e-03,3.138181067891202325e+00,1.901172032096775932e-01,-1.406537468710565286e-01,3.541977079695343367e+00
7.994858535019667978e-02,9.051344913736403611e-03,3.136582750297683297e+00,2.122944800686647204e-01,-1.795066144180253453e-01,3.540596785392700063e+00
8.994215851897126301e-02,1.128140325678623351e-02,3.134578138540253356e+00,2.333828004533533840e-01,-2.218128720374850094e-01,3.538781503008124663e+00
9.993573168774586013e-02,1.371715561999148000e-02,3.132134816381167308e+00,2.534264577143009456e-01,-2.671460704613699555e-01,3.538055780603825085e+00
1.099293048565204295e-01,1.634843129063108524e-02,3.129224644851655412e+00,2.724808723455741655e-01,-3.150781974852867595e-01,3.535552941098265567e+00
1.199228780252950266e-01,1.916547186181041806e-02,3.125823770939553548e+00,2.905732906330690812e-01,-3.651797149892572203e-01,3.534313782727787068e+00
1.299164511940696098e-01,2.215891954637524627e-02,3.121912644178534091e+00,3.077563600741364258e-01,-4.170211340180020598e-01,3.530954752081846948e+00
1.399100243628441931e-01,2.531977908444823719e-02,3.117476001052401635e+00,3.240501836916529488e-01,-4.701740412770385458e-01,3.529022787875119249e+00
1.499035975316187763e-01,2.863940897651943290e-02,3.112502856942344742e+00,3.395051442828721511e-01,-5.242127156788364273e-01,3.524613278248329706e+00
1.598971707003933596e-01,3.210948527248082274e-02,3.106986462377110847e+00,3.541346538266535449e-01,-5.787151786750882598e-01,3.521786562902700091e+00
