time,cart_pos,pend_pos,cart_vel,pend_vel,force
3.500378131866455078e-01,1.286370312499999780e-01,2.801048918679180932e+00,6.036383207380736637e-01,-4.601507918005067199e-01,2.228757525667764749e+00
3.600387573242187500e-01,1.346966796874999872e-01,2.797980957103409327e+00,6.059076377333311170e-01,-3.067671945337007711e-01,2.211184577568122478e+00
3.700399398803710938e-01,1.407790234374999838e-01,2.796446976315523969e+00,6.081624563745586798e-01,-1.533799407492779099e-01,2.193723900615890177e+00
3.800406455993652344e-01,1.468840624999999678e-01,2.796446976315523969e+00,6.104608248700694739e-01,0.000000000000000000e+00,2.175925985926197015e+00
3.900413513183593750e-01,1.529891015624999795e-01,2.797980957103409327e+00,6.104608248700722495e-01,1.533872539586780825e-01,-3.440546913611293611e+00
4.000432491302490234e-01,1.589352734374999687e-01,2.801048918679180932e+00,5.945043617553802395e-01,3.067379444853554626e-01,-3.442032341834033282e+00
4.100439548492431641e-01,1.642686718749999664e-01,2.808718822618609057e+00,5.333022076002477130e-01,7.669362697935235840e-01,-3.444153774746172125e+00
4.200451374053955078e-01,1.691481640624999672e-01,2.819456688133808342e+00,4.878915228377992408e-01,1.073659585245123171e+00,-3.447568051846912951e+00
4.300460815429687500e-01,1.735510546874999838e-01,2.833262515224779232e+00,4.402474970796497744e-01,1.380452375401520326e+00,-3.451543253063946270e+00
4.400470256805419922e-01,1.774092578124999708e-01,2.850136303891521283e+00,3.857838891935048142e-01,1.687219569935176633e+00,-3.455864683086641964e+00
4.500477313995361328e-01,1.808135546874999611e-01,2.870078054134034495e+00,3.404056644256892028e-01,1.994034301463170067e+00,-3.460265622739893576e+00
4.600486755371093750e-01,1.836731640624999773e-01,2.893087765952319312e+00,2.859339414022473158e-01,2.300753959002533655e+00,-3.464432346109766581e+00
4.700496196746826172e-01,1.860788671874999689e-01,2.920699420134260649e+00,2.405476014971264787e-01,2.760904750802996244e+00,-3.464643282624959575e+00
4.800505638122558594e-01,1.879625781249999739e-01,2.951379035891973590e+00,1.883533106062416917e-01,3.067671945336696737e+00,-3.467166690334005263e+00
