time,cart_pos,pend_pos,cart_vel,pend_vel,torque
3.400000000000000244e-01,-1.202062980656057605e-04,3.141803848197965543e+00,-5.903863909751551732e-04,1.516141968841183858e-03,-1.123398439247752338e-02
3.599999999999999867e-01,-1.320140258851088759e-04,3.141834171037342305e+00,-7.321797417218325107e-04,1.554922746164810526e-03,1.273644120509795884e-02
3.800000000000000044e-01,-1.466576207195455217e-04,3.141865269492265522e+00,-4.256907233854786326e-04,1.624589603262778341e-03,1.711927056196705169e-02
4.000000000000000222e-01,-1.551714351872550835e-04,3.141897761284330848e+00,-6.928568229607726028e-05,1.539259142686307067e-03,6.083862528666712614e-03
4.199999999999999845e-01,-1.565571488331766168e-04,3.141928546467184447e+00,5.305705437947126667e-05,1.278569532097334526e-03,7.065724063885970956e-03
4.400000000000000022e-01,-1.554960077455871882e-04,3.141954117857826301e+00,1.816871414944849490e-04,9.423016734958610668e-04,9.520751865592374727e-03
4.600000000000000200e-01,-1.518622649156974827e-04,3.141972963891296100e+00,3.425545826712799997e-04,5.332898221458015750e-04,4.259522813175846932e-03
4.799999999999999822e-01,-1.450111732622718914e-04,3.141983629687739032e+00,3.927047926972060117e-04,4.497740734791080049e-05,-1.627772258291738244e-02
5.000000000000000000e-01,-1.371570774083277690e-04,3.141984529235886114e+00,6.628746783307186722e-05,-4.688949717603272359e-04,7.023539851054974407e-03
5.200000000000000178e-01,-1.358313280516663382e-04,3.141975151336450889e+00,1.934873695793372936e-04,-8.439246920635898319e-04,4.635198651562474426e-04
5.400000000000000355e-01,-1.319615806600795815e-04,3.141958272842609645e+00,1.892796822080921161e-04,-1.259334869299519712e-03,5.101855485926979836e-04
5.600000000000000533e-01,-1.281759870159177397e-04,3.141933086145223708e+00,1.859664005098408425e-04,-1.653790863791922139e-03,3.473297443768432781e-03
5.799999999999999600e-01,-1.244566590057209266e-04,3.141900010327947967e+00,2.361156613052557121e-04,-2.020389727938770499e-03,3.565276047569677833e-03
5.999999999999999778e-01,-1.197343457796158124e-04,3.141859602533389140e+00,2.824012353908363212e-04,-2.374361635111524749e-03,-4.238216574594264908e-03
6.199999999999999956e-01,-1.140863210717990898e-04,3.141812115300687047e+00,1.821586811085337224e-04,-2.707664400853228900e-03,1.284585147726604107e-02
6.400000000000000133e-01,-1.104431474496284207e-04,3.141757962012670102e+00,4.000988207348770776e-04,-2.953657793894082575e-03,7.146965115576844885e-03
6.600000000000000311e-01,-1.024411710349308781e-04,3.141698888856792049e+00,4.926158288092762679e-04,-3.238449383882626657e-03,1.628482969395325186e-03
6.800000000000000488e-01,-9.258885445874535111e-05,3.141634119869114450e+00,4.751448977167396933e-04,-3.505523001777293129e-03,-5.755976585339868043e-03
7.000000000000000666e-01,-8.308595650441055617e-05,3.141564009409079095e+00,3.245669689707813069e-04,-3.704584631520440458e-03,-1.044387233793267304e-02
7.199999999999999734e-01,-7.659461712499492406e-05,3.141489917716448588e+00,1.026271986148397629e-04,-3.776605064931527322e-03,1.682307973158212594e-02
7.399999999999999911e-01,-7.454207315269812447e-05,3.141414385615149740e+00,3.946898996045455216e-04,-3.689741107165014997e-03,-5.970553035622532239e-04
7.600000000000000089e-01,-6.664827516060720645e-05,3.141340590793006537e+00,3.416105114683621333e-04,-3.656289462421469672e-03,-8.142063154093180655e-03
7.800000000000000266e-01,-5.981606493123996162e-05,3.141267465003758197e+00,1.559010313106442191e-04,-3.534957120959921796e-03,-7.355462293890662352e-04
8.000000000000000444e-01,-5.669804430502707967e-05,3.141196765861339113e+00,1.211993139831220572e-04,-3.272478612150080731e-03,2.954727838690834538e-03
8.200000000000000622e-01,-5.427405802536463988e-05,3.141131316289095921e+00,1.555416686670851693e-04,-2.934683371554001104e-03,-4.178570850009909188e-03
8.399999999999999689e-01,-5.116322465202293433e-05,3.141072622621664756e+00,5.635809897970135241e-05,-2.555518904756834669e-03,4.246696493478187458e-03
8.599999999999999867e-01,-5.003606267242890565e-05,3.141021512243569624e+00,1.184568516011660693e-04,-2.086367764018435753e-03,-1.257033940745964538e-04
8.800000000000000044e-01,-4.766692564040558643e-05,3.140979784888289217e+00,9.455973987217734594e-05,-1.601455150338898124e-03,-1.808068554721798879e-02
9.000000000000000222e-01,-4.577573084296203735e-05,3.140947755785282514e+00,-2.526317101877402819e-04,-1.073944203968439648e-03,-2.135804206431616854e-03
9.200000000000000400e-01,-5.082836504671684217e-05,3.140926276901203185e+00,-2.777034542006898295e-04,-3.795839334570868693e-04,2.381264775852950238e-02
9.400000000000000577e-01,-5.638243413073063524e-05,3.140918685222533924e+00,1.691471329565212523e-04,3.377226180583092199e-04,2.461925051615556238e-03
9.599999999999999645e-01,-5.299949147160021155e-05,3.140925439674894903e+00,1.858402539435074130e-04,8.705682175459218729e-04,3.652613682647330891e-03
9.799999999999999822e-01,-4.928268639273006166e-05,3.140942851039245642e+00,2.226668711423007100e-04,1.385271919858292820e-03,-1.734303905841601615e-02
1.000000000000000000e+00,-4.482934896988405044e-05,3.140970556477642894e+00,-1.237716652631962611e-04,1.864075043795351654e-03,-3.393022862918069235e-04
1.020000000000000018e+00,-4.730478227514797241e-05,3.141007837978518680e+00,-1.279957184427346628e-04,2.456194890598601029e-03,-1.212765296492886429e-03
1.040000000000000036e+00,-4.986469664400266621e-05,3.141056961876330433e+00,-1.468788337247697493e-04,3.010772521667252465e-03,1.243893811853171751e-02
1.060000000000000053e+00,-5.280227331849806309e-05,3.141117177326763876e+00,8.413359957889278993e-05,3.523607149189064962e-03,1.191336899098006767e-02
1.080000000000000071e+00,-5.111960132692020648e-05,3.141187649469747711e+00,2.841637695983602286e-04,3.882062025299976016e-03,1.404240364352655340e-02
1.100000000000000089e+00,-4.543632593495300110e-05,3.141265290710253844e+00,5.044378284843643867e-04,4.091201553410239548e-03,1.838510464715631745e-02
1.120000000000000107e+00,-3.534756936526571499e-05,3.141347114741321889e+00,7.831416963143648935e-04,4.137693566339274535e-03,-4.591513168965463665e-04
1.140000000000000124e+00,-1.968473543897841685e-05,3.141429868612648502e+00,6.948846084494649617e-04,3.995213876486447720e-03,1.501446410044535336e-02
1.159999999999999920e+00,-5.787043269989117613e-06,3.141509772890178187e+00,8.967248231768017901e-04,3.816157255679520233e-03,1.375746944097995354e-02
1.179999999999999938e+00,1.214745319354691995e-05,3.141586096035291931e+00,1.057400592046926465e-03,3.483786845024704291e-03,9.524270259556478352e-03
1.199999999999999956e+00,3.329546503448544640e-05,3.141655771772192463e+00,1.126973039401863797e-03,3.019781113855894358e-03,-6.476536770313536667e-03
1.219999999999999973e+00,5.583492582252272559e-05,3.141716167394469572e+00,9.011986597418770962e-04,2.468933627416710144e-03,-5.840449939567448311e-03
1.239999999999999991e+00,7.385889901736026805e-05,3.141765546067017745e+00,7.099281442887884607e-04,1.962251759952232579e-03,1.135377292892805583e-02
1.260000000000000009e+00,8.805746190313603402e-05,3.141804791102216665e+00,8.493387740612244521e-04,1.495022438013613808e-03,-3.284962442407376136e-03
1.280000000000000027e+00,1.050442373843605198e-04,3.141834691550976721e+00,7.107163348013950666e-04,9.395461164705635332e-04,2.350036954775171910e-03
1.300000000000000044e+00,1.192585640803884260e-04,3.141853482473305981e+00,6.880502992885299948e-04,4.197717151531405811e-04,2.372566774306165277e-02
1.320000000000000062e+00,1.330195700661590270e-04,3.141861877907608847e+00,1.054754853554777183e-03,-1.024350631556824025e-04,-1.016899850237072515e-02
1.340000000000000080e+00,1.541146671372545739e-04,3.141859829206345545e+00,7.721142909798302516e-04,-7.783862331415039842e-04,4.331407738983539084e-03
1.360000000000000098e+00,1.695569529568511941e-04,3.141844261481682832e+00,7.794229792183599275e-04,-1.329337298106343743e-03,6.457513687102625893e-04
1.380000000000000115e+00,1.851454125412183938e-04,3.141817674735720711e+00,7.189368147067547394e-04,-1.863949893280412041e-03,1.846835942849439985e-02
1.400000000000000133e+00,1.995241488353534885e-04,3.141780395737855169e+00,9.864325732119405641e-04,-2.344471927432588507e-03,6.455771189907047458e-03
1.419999999999999929e+00,2.192528002995922966e-04,3.141733506299306367e+00,1.009615744677575845e-03,-2.897125553210312156e-03,-4.546224533571888680e-03
1.439999999999999947e+00,2.394451151931438102e-04,3.141675563788242087e+00,8.304850481365971945e-04,-3.411830211842128285e-03,1.353262639458772780e-02
1.459999999999999964e+00,2.560548161558757639e-04,3.141607327184005261e+00,9.950452866846939536e-04,-3.795529831397402923e-03,-1.797227783546527556e-03
1.479999999999999982e+00,2.759557218895696429e-04,3.141531416587377112e+00,8.648011318154057072e-04,-4.182039483711914515e-03,-4.420700166033860118e-04
1.500000000000000000e+00,2.932517445258777593e-04,3.141447775797702846e+00,7.704638307838841639e-04,-4.442837630009553035e-03,-3.448460891836656588e-03
1.520000000000000018e+00,3.086610211415554165e-04,3.141358919045102560e+00,6.294649606149727017e-04,-4.587015349781477930e-03,-6.737134182043924731e-03
1.540000000000000036e+00,3.212503203538548554e-04,3.141267178738107013e+00,4.411890119602757945e-04,-4.591780501402929759e-03,-2.896703212709604309e-03
1.560000000000000053e+00,3.300741005930603821e-04,3.141175343128078890e+00,3.392819894454598972e-04,-4.436387966811092959e-03,-1.751373760347216041e-03
1.580000000000000071e+00,3.368597403819695540e-04,3.141086615368742674e+00,2.665436369216257913e-04,-4.157930546872951223e-03,1.419390793281441639e-02
1.600000000000000089e+00,3.421906131204020796e-04,3.141003456757805345e+00,4.881002214067886201e-04,-3.772391875180017371e-03,3.748889493324931727e-03
1.620000000000000107e+00,3.519526175485378542e-04,3.140928008920301551e+00,4.975928746201598680e-04,-3.407230289651513519e-03,-1.603854502841846710e-04
1.640000000000000124e+00,3.619044750409410689e-04,3.140859864314508698e+00,4.341844138408896192e-04,-2.981724005411396858e-03,-1.622734883874605086e-02
1.660000000000000142e+00,3.705881633177588765e-04,3.140800229834400437e+00,8.506218129459365606e-05,-2.472996587337358311e-03,1.437568948276115623e-02
1.679999999999999938e+00,3.722894069436507463e-04,3.140750769902653783e+00,3.231136344218133501e-04,-1.771589141051741964e-03,-6.182590697205057537e-03
1.699999999999999956e+00,3.787516796320870242e-04,3.140715338119832722e+00,1.650507980169085766e-04,-1.130754833806227929e-03,-1.430069075170178894e-02
1.719999999999999973e+00,3.820526955924252060e-04,3.140692723023156496e+00,-1.249938318920065349e-04,-3.991566983731365675e-04,-1.995451770974921227e-02
1.739999999999999991e+00,3.795528189545850964e-04,3.140684739889188837e+00,-4.892786168673714199e-04,4.652248269482151758e-04,-7.058355365559513964e-04
1.760000000000000009e+00,3.697672466172376572e-04,3.140694044385727857e+00,-4.695004386213439177e-04,1.478614166293436109e-03,-3.540865764624000211e-03
1.780000000000000027e+00,3.603772378448107908e-04,3.140723616669053531e+00,-5.026309508954541778e-04,2.465607054691386271e-03,8.444002724796138837e-03
1.800000000000000044e+00,3.503246188269017246e-04,3.140772928810147580e+00,-3.148970454916229103e-04,3.430092024393842452e-03,-9.284261320252611138e-03
1.820000000000000062e+00,3.440266779170692577e-04,3.140841530650635427e+00,-4.654123864738801968e-04,4.263403183246063967e-03,-1.246045164703176236e-02
1.840000000000000080e+00,3.347184301875916743e-04,3.140926798714300361e+00,-6.573960612645595933e-04,5.088981122010528650e-03,5.113140445825252109e-03
1.860000000000000098e+00,3.215705089623004998e-04,3.141028578336740651e+00,-5.109105373525795867e-04,5.909067470348508024e-03,-2.041943388561596583e-03
1.880000000000000115e+00,3.113522982152489189e-04,3.141146759686147760e+00,-5.063901835278535133e-04,6.569253394211067160e-03,3.470239413562055657e-03
1.900000000000000133e+00,3.012244945446918747e-04,3.141278144754032109e+00,-4.004126164790893492e-04,7.114918122182633392e-03,1.186544125794130808e-02
1.919999999999999929e+00,2.932162422151100628e-04,3.141420443116475614e+00,-1.505056113452369628e-04,7.493481045900632874e-03,-3.918450823459747843e-03
1.939999999999999947e+00,2.902061299882053051e-04,3.141570312737393511e+00,-2.082635997862801122e-04,7.637354857649814727e-03,2.921501653565055875e-04
1.959999999999999964e+00,2.860408579924796817e-04,3.141723059834546472e+00,-1.815960656162443046e-04,7.668925361039150880e-03,7.577282368588502889e-03
1.979999999999999982e+00,2.824089366801547690e-04,3.141876438341767219e+00,-2.307354756713415954e-05,7.551896316722303548e-03,-6.964832536857646673e-03
2.000000000000000000e+00,2.819474657288120723e-04,3.142027476268101527e+00,-1.407086240576334996e-04,7.232727554065665303e-03,2.717806634656801633e-03
