q11,q22,r,Vol
2.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000222e-01,-2.937642138042660278e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,-3.070875981734891980e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,-1.827992230560490583e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000111e-01,-2.062607006665786713e+01
2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000444e-01,-2.226106931237198339e+01
2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,-2.731454545419070712e+01
2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,-2.543910269103813349e+01
2.000000000000000000e+00,3.000000000000000000e+00,5.999999999999999778e-01,-2.725647832200735365e+01
2.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000666e-01,-2.750948979356958546e+01
2.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000444e-01,-2.926064495934976861e+01
2.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000222e-01,-2.921272139928682066e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,-2.978587070546436166e+01
2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,-1.616599520780706811e+01
2.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000111e-01,-1.920255862326152752e+01
2.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000444e-01,-2.054016157108941698e+01
2.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01,-2.191872027992378591e+01
2.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,-2.218673918789603761e+01
2.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,-2.385081984040550296e+01
2.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000666e-01,-2.540554918356836112e+01
2.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000444e-01,-2.556268003410415091e+01
2.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000222e-01,-2.588252667229346571e+01
2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,-2.612495095505270015e+01
2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,-1.528599364846997943e+01
2.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.750672264455961979e+01
2.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000444e-01,-1.865805418364770318e+01
2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01,-2.002098782769471796e+01
