time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.108829582487053100e-02,2.008610891040697310e-04,3.140749662364993533e+00,3.527474868993722701e-02,-1.478794333696329122e-01,3.741920663763294463e+00
2.217659164974106201e-02,7.836680233001881192e-04,3.138309423806195930e+00,6.891828458523507894e-02,-2.878414810599516094e-01,3.764437529332723020e+00
3.326488747461159301e-02,1.730040142866925718e-03,3.134364910303234719e+00,1.008799115040323047e-01,-4.189812022232453637e-01,3.776012200823276821e+00
4.435318329948212401e-02,3.020917718667135918e-03,3.129019380357673352e+00,1.310883868124488039e-01,-5.403526316574178701e-01,3.774019413325589323e+00
5.544147912435265502e-02,4.636520794608154326e-03,3.122386025033274670e+00,1.594847984844074140e-01,-6.511114509173708820e-01,3.759194278963542857e+00
6.652977494922318602e-02,6.556820032151977791e-03,3.114585413818735660e+00,1.860813380134052064e-01,-7.507657671283244349e-01,3.738546292509278945e+00
7.761807077409371702e-02,8.761946185708477733e-03,3.105743159863256331e+00,2.108947648148411236e-01,-8.388995479105130215e-01,3.712381933444802051e+00
8.870636659896424803e-02,1.123212901700747050e-02,3.095989531320618049e+00,2.339267710130806255e-01,-9.150931669882516051e-01,3.678915672356536160e+00
9.979466242383477903e-02,1.394741611377828955e-02,3.085459951977401083e+00,2.551439162837398911e-01,-9.788426255200394221e-01,3.634112180462343300e+00
1.108829582487053100e-01,1.688733999203836586e-02,3.074295677653445580e+00,2.744875675167717244e-01,-1.029605290819421315e+00,3.574758345968860773e+00
1.219712540735758410e-01,2.003100587974359845e-02,3.062642663945784882e+00,2.919383888110058112e-01,-1.067073799227687081e+00,3.504312733930314838e+00
1.330595498984463720e-01,2.335755577633962313e-02,3.050648826731455543e+00,3.075212732347509803e-01,-1.091198117239303489e+00,3.426943495498458336e+00
1.441478457233169030e-01,2.684613720716885060e-02,3.038463367471226029e+00,3.212137339256870838e-01,-1.101802755624077257e+00,3.337325686766337451e+00
1.552361415481874340e-01,3.047593196195129764e-02,3.026235839625881052e+00,3.330432189806995513e-01,-1.098994572072940157e+00,3.240202724347544194e+00
1.663244373730579651e-01,3.422614838656833081e-02,3.014115366196828294e+00,3.429881289560434698e-01,-1.082748527550761564e+00,3.130043439548880979e+00
1.774127331979284961e-01,3.807590430678767235e-02,3.002250322226393209e+00,3.510528682505204556e-01,-1.053220313108007344e+00,3.009131360472241834e+00
1.885010290227990271e-01,4.200424318022603215e-02,2.990787472931528246e+00,3.572200972191180712e-01,-1.010545725725277455e+00,2.874759268430358894e+00
1.995893248476695581e-01,4.599080873441736134e-02,2.979868402248808668e+00,3.616112321512283678e-01,-9.555038451521992160e-01,2.741288703182129805e+00
2.106776206725400891e-01,5.001578643577135608e-02,2.969629047205222250e+00,3.642064073225677046e-01,-8.883484374442187637e-01,2.594096075315821537e+00
2.217659164974106201e-01,5.405784586194620212e-02,2.960207546271942824e+00,3.647580481493119531e-01,-8.084537548520474015e-01,2.408484254373919775e+00
2.328542123222811511e-01,5.809620782756305668e-02,2.951734995245552717e+00,3.635968783839531038e-01,-7.176444349873495332e-01,2.244635640295800094e+00
2.439425081471516821e-01,6.211118498954883160e-02,2.944332623679762673e+00,3.606013294932174373e-01,-6.159243463648917949e-01,2.056002849434877877e+00
2.550308039720222131e-01,6.608270056952153526e-02,2.938117386068283654e+00,3.558179566565425334e-01,-5.040390010397176601e-01,1.859778748974597606e+00
2.661190997968927441e-01,6.999115829011114120e-02,2.933197876963477224e+00,3.492868353525262481e-01,-3.827484015228567182e-01,1.655514773550330831e+00
2.772073956217632751e-01,7.381728229945663800e-02,2.929674559201166595e+00,3.410261831034744895e-01,-2.527593677296789965e-01,1.441100230526017434e+00
2.882956914466338061e-01,7.754202740638349578e-02,2.927639749708471850e+00,3.310592041947865161e-01,-1.148318276870841786e-01,1.217192637748350847e+00
2.993839872715043371e-01,8.114659078671193626e-02,2.927177232860784351e+00,3.194064931983153777e-01,3.025639932663556908e-02,9.836675810750064031e-01
3.104722830963748681e-01,8.461236447109540815e-02,2.928362158925095660e+00,3.060828494245468323e-01,1.817261773467687136e-01,7.400377474035376713e-01
3.215605789212453991e-01,8.792099978809017613e-02,2.931260519593250180e+00,2.911199603078077347e-01,3.387071304142105221e-01,4.881834574893135215e-01
3.326488747461159301e-01,9.105445436957448901e-02,2.935928728549705102e+00,2.745417932832279195e-01,5.003415199343526076e-01,2.274075245361737163e-01
3.437371705709864611e-01,9.399506718977325426e-02,2.942413115670261536e+00,2.563929053611797571e-01,6.656703344889212115e-01,-4.004512469038386258e-02
3.548254663958569921e-01,9.672540175593279110e-02,2.950750400120425887e+00,2.366707676764784607e-01,8.339137688562351380e-01,-3.191155024638909765e-01
3.659137622207275231e-01,9.922825903148346782e-02,2.960967485882661343e+00,2.154198038429816220e-01,1.004085741436213874e+00,-6.050040765215352057e-01
3.770020580455980541e-01,1.014868954291419517e-01,2.973080427258468106e+00,1.926782246914514607e-01,1.175214355225178586e+00,-8.984061134340506349e-01
3.880903538704685851e-01,1.034850608022327423e-01,2.987094153793632412e+00,1.684967651047118431e-01,1.346266178392543589e+00,-1.198113591731472471e+00
3.991786496953391161e-01,1.052070422275679512e-01,3.003002189578506176e+00,1.429218704260222239e-01,1.516217565639739417e+00,-1.504696223044664549e+00
4.102669455202096471e-01,1.066379795964700339e-01,3.020785262836166218e+00,1.160595056227863714e-01,1.683791530027706429e+00,-1.811988258239505489e+00
