time,cart_pos,pend_pos,cart_vel,pend_vel,force
2.203001976013183594e-01,4.534523437499999449e-02,2.952913016679859393e+00,4.986197333333333148e-01,-1.838280501300513459e+00,4.934136747298556003e+00
2.303137779235839844e-01,5.067863281249999213e-02,2.932971266437345736e+00,5.326165333333331420e-01,-1.991470543075618993e+00,4.869967401470053581e+00
2.403273582458496094e-01,5.621628906249999391e-02,2.914563496982718327e+00,5.530146133333334602e-01,-1.838280501300513459e+00,4.798239292599017602e+00
2.503411769866943359e-01,6.207167968749999210e-02,2.894621746740204671e+00,5.847310378324324098e-01,-1.991423128239232287e+00,4.695234241988804236e+00
2.603642940521240234e-01,6.813132812499998747e-02,2.874679996497691459e+00,6.045672616555656242e-01,-1.989575709066939480e+00,4.559185232590917458e+00
2.703683376312255859e-01,7.446332031249998373e-02,2.854738246255178247e+00,6.329432831267870485e-01,-1.993368989732462682e+00,4.413285773366678377e+00
2.803819179534912109e-01,8.102226562499999230e-02,2.836330476800550393e+00,6.550050133333341629e-01,-1.838280501300557646e+00,4.264382844973860998e+00
2.903957366943359375e-01,8.776277343749998294e-02,2.817922707345922984e+00,6.731206133187295215e-01,-1.838236733759233354e+00,4.069927628165062039e+00
3.004090785980224609e-01,9.468484374999998343e-02,2.799514937891295130e+00,6.912847258268054462e-01,-1.838324270926055881e+00,3.872397997798319391e+00
3.104236125946044922e-01,1.017657812499999925e-01,2.782641149224553079e+00,7.070661003713940573e-01,-1.684929990002639100e+00,3.653212776975332865e+00
3.204364776611328125e-01,1.089374999999999788e-01,2.767301341345696830e+00,7.162504140771945860e-01,-1.532009847025222804e+00,3.428700545442406877e+00
3.304498195648193359e-01,1.162226953124999851e-01,2.751961533466840137e+00,7.275488425914908852e-01,-1.531936892438394704e+00,3.171158970787099296e+00
3.404633998870849609e-01,1.235986718749999824e-01,2.738155706375869691e+00,7.365973333333331041e-01,-1.378710375975374047e+00,2.906461484837841169e+00
3.504774570465087891e-01,1.309973437499999949e-01,2.727417840860669962e+00,7.388286043521749002e-01,-1.072279231509553954e+00,2.658736096166423923e+00
3.604905605316162109e-01,1.384187109374999669e-01,2.718213956133356035e+00,7.411655335968351244e-01,-9.191840213179607311e-01,2.363028252268473572e+00
3.705046176910400391e-01,1.457946874999999920e-01,2.709010071406042108e+00,7.365622589400530051e-01,-9.190964841510336214e-01,2.045287185139055275e+00
