time,cart_pos,pend_pos,cart_vel,pend_vel,force
1.600012779235839844e-01,1.783851562499999890e-02,3.060291671831854021e+00,3.086639034857661112e-01,-1.380616942228972688e+00,5.035328570726311348e+00
1.700015068054199219e-01,2.128820312499999853e-02,3.044951863952997773e+00,3.449608544726301407e-01,-1.533945678655308953e+00,5.146744113476369620e+00
1.800014972686767578e-01,2.507832031249999580e-02,3.029612056074141524e+00,3.790120802040862213e-01,-1.533982250805099312e+00,5.272785996655398932e+00
1.900014877319335938e-01,2.923156249999999540e-02,3.012738267407399029e+00,4.153246148344181266e-01,-1.687380475885671416e+00,5.322176470303760176e+00
2.000017166137695312e-01,3.374792968749999733e-02,2.994330497952771619e+00,4.516263818424567922e-01,-1.840734814386361773e+00,5.363229041828688537e+00
2.100014686584472656e-01,3.862742187499999119e-02,2.975922728498143766e+00,4.879613180105854542e-01,-1.840822589638630102e+00,5.396130738490688472e+00
2.200016975402832031e-01,4.380195312499999410e-02,2.955980978255630554e+00,5.174412817089455441e-01,-1.994129382251910609e+00,5.365674253156319295e+00
2.300019264221191406e-01,4.933960937499999588e-02,2.934505247225231539e+00,5.537529506008012081e-01,-2.147523950117459002e+00,5.331253105320876706e+00
2.400014400482177734e-01,5.521769531249999530e-02,2.913029516194832524e+00,5.878371846164850423e-01,-2.147677560471298097e+00,5.264442785529921842e+00
2.500019073486328125e-01,6.141351562499999112e-02,2.891553785164433510e+00,6.195530795088802778e-01,-2.147472751549093228e+00,5.177349287804096534e+00
2.600018978118896484e-01,6.792707031249999028e-02,2.868544073346149137e+00,6.513560899315736785e-01,-2.300973376207648968e+00,5.059715035820074647e+00
2.700018882751464844e-01,7.469027343749999603e-02,2.847068342315750122e+00,6.763209574899273768e-01,-2.147575151127165682e+00,4.927236310748544845e+00
2.800018787384033203e-01,8.172582031249998880e-02,2.825592611285351108e+00,7.035553584626748069e-01,-2.147575151127165682e+00,4.772648345086164312e+00
2.900018692016601562e-01,8.896562499999999263e-02,2.804116880254952093e+00,7.239811591922374889e-01,-2.147575151127165682e+00,4.587213537319808410e+00
3.000018596649169922e-01,9.643238281249998101e-02,2.784175130012438881e+00,7.466764933361932366e-01,-1.994176926046637988e+00,4.394545016452408248e+00
3.100020885467529297e-01,1.040580078124999919e-01,2.764233379769925225e+00,7.625450467289730527e-01,-1.994129382251955018e+00,4.182001334223194533e+00
3.200023174285888672e-01,1.118878906249999861e-01,2.744291629527412013e+00,7.829703604806402817e-01,-1.994129382251910609e+00,3.920668588967967327e+00
3.300023078918457031e-01,1.198085546874999852e-01,2.727417840860669962e+00,7.920671616241088397e-01,-1.687380475885627007e+00,3.696807652662924770e+00
3.400020599365234375e-01,1.278199999999999892e-01,2.710544052193927911e+00,8.011643965476137330e-01,-1.687420707168729495e+00,3.419129533953922717e+00
3.500025272369384766e-01,1.359222265624999704e-01,2.696738225102957021e+00,8.101847962808420567e-01,-1.380518197424426496e+00,3.151634657133291828e+00
3.600022792816162109e-01,1.440925390624999691e-01,2.682932398011986574e+00,8.170515092270276281e-01,-1.380616942228928279e+00,2.846690540764127419e+00
