time,cart_pos,pend_pos,cart_vel,pend_vel,force
2.102868556976318359e-01,4.244023437499999662e-02,2.962116901407172875e+00,4.872758648603605636e-01,-1.838236733759277763e+00,4.952983874942983533e+00
2.203001976013183594e-01,4.761476562499999260e-02,2.943709131952545466e+00,5.167636638967590956e-01,-1.838324270926011694e+00,4.926517432833413146e+00
2.303140163421630859e-01,5.306164062499998946e-02,2.923767381710032254e+00,5.439358491464485468e-01,-1.991423128239188101e+00,4.863587275822605527e+00
2.403273582458496094e-01,5.880355468749998843e-02,2.903825631467518598e+00,5.734263463415794071e-01,-1.991517960169908674e+00,4.776241294816576222e+00
2.503414154052734375e-01,6.481781249999998828e-02,2.883883881225005386e+00,6.005815342126564760e-01,-1.991375715660543166e+00,4.687179514091435628e+00
2.603547573089599609e-01,7.108171874999999473e-02,2.863942130982492174e+00,6.255560141908147465e-01,-1.991517960169864487e+00,4.549745771236935354e+00
2.703683376312255859e-01,7.757257812499998573e-02,2.844000380739978517e+00,6.482056533333324655e-01,-1.991470543075618993e+00,4.404802564697029688e+00
2.803816795349121094e-01,8.429039062499998902e-02,2.825592611285351108e+00,6.708861601466704627e-01,-1.838324270926011694e+00,4.255191320258660426e+00
2.903954982757568359e-01,9.121246093749998951e-02,2.805650861042837896e+00,6.912518082902788796e-01,-1.991423128239188101e+00,4.043367404479294436e+00
3.004093170166015625e-01,9.829339843749998473e-02,2.788777072376095845e+00,7.071166038903831108e-01,-1.685050339279323239e+00,3.878688450079625927e+00
3.104228973388671875e-01,1.055105078124999873e-01,2.771903283709353794e+00,7.207321600000002881e-01,-1.685090459525496520e+00,3.643020867005961616e+00
3.204364776611328125e-01,1.128410937499999822e-01,2.755029495042611742e+00,7.320644266666661570e-01,-1.685090459525496520e+00,3.400075623107694955e+00
3.304500579833984375e-01,1.202397656249999808e-01,2.741223667951640852e+00,7.388637866666665222e-01,-1.378710375975418234e+00,3.177540405011391567e+00
3.404638767242431641e-01,1.277292187499999843e-01,2.727417840860669962e+00,7.479117925763675290e-01,-1.378677550319458378e+00,2.895239280073095056e+00
3.504772186279296875e-01,1.352640624999999763e-01,2.716679975345470677e+00,7.524804228672102857e-01,-1.072355824706836325e+00,2.646473913789271659e+00
3.604910373687744141e-01,1.428216015624999835e-01,2.707476090618156750e+00,7.547109906906985799e-01,-9.191183668796388817e-01,2.350236482951887140e+00
3.705043792724609375e-01,1.503110546874999731e-01,2.699806186678728626e+00,7.479474082716244254e-01,-7.659684462191752585e-01,2.050282893863118350e+00
3.805184364318847656e-01,1.578232031249999778e-01,2.693670263527185860e+00,7.501603314127903710e-01,-6.127309894340371432e-01,1.736532548198169934e+00
3.905317783355712891e-01,1.652899609374999801e-01,2.690602301951414699e+00,7.456809009738328831e-01,-3.063873784876612327e-01,1.418968222421648218e+00
4.005451202392578125e-01,1.726886328124999648e-01,2.690602301951414699e+00,7.388813790804528159e-01,0.000000000000000000e+00,1.100692951837028977e+00
4.105589389801025391e-01,1.799738281249999849e-01,2.692136282739300057e+00,7.275141982333773738e-01,1.531863944799102539e-01,7.412529005362235024e-01
4.205725193023681641e-01,1.870774609374999675e-01,2.696738225102957021e+00,7.093998933333316437e-01,4.595701253251394114e-01,3.938852915309771774e-01
4.305863380432128906e-01,1.939995312499999680e-01,2.702874148254499787e+00,6.912518082902788796e-01,6.127455779197740204e-01,2.135302102550906689e-02
4.406001567840576172e-01,2.007173437499999713e-01,2.713612013769699072e+00,6.708542139472872812e-01,1.072304761359549108e+00,-3.385685639035082573e-01
4.506137371063232422e-01,2.072082031249999623e-01,2.725883860072784159e+00,6.482056533333324655e-01,1.225520334200357109e+00,-7.281416224128007819e-01
4.606268405914306641e-01,2.134267187499999663e-01,2.741223667951640852e+00,6.210377865612651815e-01,1.531973368863282614e+00,-1.119173036061616333e+00
4.706416130065917969e-01,2.193501953124999682e-01,2.761165418194154064e+00,5.914739064397097623e-01,1.991233491469447392e+00,-1.499878020550813762e+00
4.806549549102783203e-01,2.249332421874999655e-01,2.782641149224553079e+00,5.575607952570296177e-01,2.144711649413717058e+00,-1.908227925124783342e+00
