q11,q22,r,Vol
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.459785571603861399e+03
1.000000000000000000e+00,2.799999999999999822e+00,1.000000000000000056e-01,6.042457723289293625e+01
1.000000000000000000e+00,2.799999999999999822e+00,2.800000000000000266e-01,1.942458899103993986e+02
1.000000000000000000e+00,2.799999999999999822e+00,4.599999999999999645e-01,2.991621329391705331e+02
1.000000000000000000e+00,2.799999999999999822e+00,6.400000000000000133e-01,4.859863495847087052e+02
1.000000000000000000e+00,2.799999999999999822e+00,8.199999999999999512e-01,6.634990909141762359e+02
1.000000000000000000e+00,2.799999999999999822e+00,1.000000000000000000e+00,5.805861985002624124e+02
2.799999999999999822e+00,2.799999999999999822e+00,1.000000000000000056e-01,6.129658342860351894e+01
2.799999999999999822e+00,2.799999999999999822e+00,2.800000000000000266e-01,2.036782676623176087e+02
2.799999999999999822e+00,2.799999999999999822e+00,4.599999999999999645e-01,3.695752504889048282e+02
2.799999999999999822e+00,2.799999999999999822e+00,6.400000000000000133e-01,4.340061352464664992e+02
2.799999999999999822e+00,2.799999999999999822e+00,8.199999999999999512e-01,7.383793644797635807e+02
2.799999999999999822e+00,2.799999999999999822e+00,1.000000000000000000e+00,4.883872655990853673e+02
4.599999999999999645e+00,2.799999999999999822e+00,1.000000000000000056e-01,6.112186545317843667e+01
4.599999999999999645e+00,2.799999999999999822e+00,2.800000000000000266e-01,2.119140623188421841e+02
4.599999999999999645e+00,2.799999999999999822e+00,4.599999999999999645e-01,3.103346555799839734e+02
4.599999999999999645e+00,2.799999999999999822e+00,6.400000000000000133e-01,5.042433504307343242e+02
4.599999999999999645e+00,2.799999999999999822e+00,8.199999999999999512e-01,4.835840332682663529e+02
4.599999999999999645e+00,2.799999999999999822e+00,1.000000000000000000e+00,5.404245618404025890e+02
6.400000000000000355e+00,2.799999999999999822e+00,1.000000000000000056e-01,5.932615640087503550e+01
6.400000000000000355e+00,2.799999999999999822e+00,2.800000000000000266e-01,2.204775433280859431e+02
6.400000000000000355e+00,2.799999999999999822e+00,4.599999999999999645e-01,3.938728399731095351e+02
6.400000000000000355e+00,2.799999999999999822e+00,6.400000000000000133e-01,5.112486395665531518e+02
6.400000000000000355e+00,2.799999999999999822e+00,8.199999999999999512e-01,7.314541536151947412e+02
6.400000000000000355e+00,2.799999999999999822e+00,1.000000000000000000e+00,6.242559834397263785e+02
8.199999999999999289e+00,2.799999999999999822e+00,1.000000000000000056e-01,5.683859848703129813e+01
8.199999999999999289e+00,2.799999999999999822e+00,2.800000000000000266e-01,2.292956371252755332e+02
8.199999999999999289e+00,2.799999999999999822e+00,4.599999999999999645e-01,3.677430035183131736e+02
8.199999999999999289e+00,2.799999999999999822e+00,6.400000000000000133e-01,4.395167013041405539e+02
8.199999999999999289e+00,2.799999999999999822e+00,8.199999999999999512e-01,4.447206752120017654e+02
8.199999999999999289e+00,2.799999999999999822e+00,1.000000000000000000e+00,7.430117837953255275e+02
1.000000000000000000e+01,2.799999999999999822e+00,1.000000000000000056e-01,5.399196697517874100e+01
1.000000000000000000e+01,2.799999999999999822e+00,2.800000000000000266e-01,2.222817993692778202e+02
1.000000000000000000e+01,2.799999999999999822e+00,4.599999999999999645e-01,3.250115062316158401e+02
1.000000000000000000e+01,2.799999999999999822e+00,6.400000000000000133e-01,5.146832796010565971e+02
1.000000000000000000e+01,2.799999999999999822e+00,8.199999999999999512e-01,5.110767635695928561e+02
1.000000000000000000e+01,2.799999999999999822e+00,1.000000000000000000e+00,7.241487794701126859e+02
1.000000000000000000e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.821856979542802435e+01
1.000000000000000000e+00,4.599999999999999645e+00,2.800000000000000266e-01,1.770305187259827164e+02
1.000000000000000000e+00,4.599999999999999645e+00,4.599999999999999645e-01,3.152855600279048076e+02
1.000000000000000000e+00,4.599999999999999645e+00,6.400000000000000133e-01,4.691409620600055632e+02
1.000000000000000000e+00,4.599999999999999645e+00,8.199999999999999512e-01,6.178106235507128758e+02
1.000000000000000000e+00,4.599999999999999645e+00,1.000000000000000000e+00,6.941166710081748761e+02
2.799999999999999822e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.755556011576130260e+01
2.799999999999999822e+00,4.599999999999999645e+00,2.800000000000000266e-01,1.828100616563858409e+02
2.799999999999999822e+00,4.599999999999999645e+00,4.599999999999999645e-01,3.257802930985687340e+02
2.799999999999999822e+00,4.599999999999999645e+00,6.400000000000000133e-01,4.834534196059586293e+02
2.799999999999999822e+00,4.599999999999999645e+00,8.199999999999999512e-01,6.326088118717141242e+02
2.799999999999999822e+00,4.599999999999999645e+00,1.000000000000000000e+00,6.471358352936219944e+02
4.599999999999999645e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.598121050972230961e+01
4.599999999999999645e+00,4.599999999999999645e+00,2.800000000000000266e-01,1.866799882369949728e+02
4.599999999999999645e+00,4.599999999999999645e+00,4.599999999999999645e-01,3.347251737774270737e+02
4.599999999999999645e+00,4.599999999999999645e+00,6.400000000000000133e-01,4.498894893693251902e+02
4.599999999999999645e+00,4.599999999999999645e+00,8.199999999999999512e-01,6.677319075501092129e+02
4.599999999999999645e+00,4.599999999999999645e+00,1.000000000000000000e+00,7.602501094238579071e+02
6.400000000000000355e+00,4.599999999999999645e+00,1.000000000000000056e-01,5.418815638165799697e+01
6.400000000000000355e+00,4.599999999999999645e+00,2.800000000000000266e-01,1.900361617151049529e+02
6.400000000000000355e+00,4.599999999999999645e+00,4.599999999999999645e-01,3.428297279946049798e+02
6.400000000000000355e+00,4.599999999999999645e+00,6.400000000000000133e-01,4.873694089486251073e+02
6.400000000000000355e+00,4.599999999999999645e+00,8.199999999999999512e-01,6.588664902637818841e+02
