% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=968924, Thu Dec  1 10:50:14 2022, <python>{}</python>
1 21 0.31450097126568877 1.0000333338888951 1008.802736702824 1.0088027367028239e+03 1042.2766733578696 1126.7844431081955   
2 42 0.3462152832621676 1.5834794567631658 1008.5092574398465 1.0085092574398465e+03 1024.5152019149837 1063.0786585551548   
3 63 0.42834678813846194 2.5782078046170978 1008.3295062174335 1.0083295062174335e+03 1025.894027382256 1050.8404094711307   
4 84 0.471784500007795 5.638789589041389 1008.3295062174335 1.0083966061451092e+03 1017.7683082970718 1047.2320776650483   
5 105 0.4131591263863404 9.572237956711174 1008.0753620856252 1.0080753620856252e+03 1016.052049499225 1033.3627202610726   
6 126 0.5853037922062385 14.603860600273288 1008.0701232582792 1.0080701232582792e+03 1009.0050752052723 1019.9948693227789   
7 147 0.6558750467160491 23.335701134861843 1008.0701232582792 1.0082248973257422e+03 1009.7871815693317 1017.7801663936602   
8 168 0.6013759310723976 34.72462143610968 1007.7018302164402 1.0077018302164402e+03 1008.6725113102791 1016.0232394484069   
9 189 0.695131808784178 45.395018511951285 1007.406881136118 1.0074068811361180e+03 1008.4124205888837 1010.507943312481   
10 210 0.965081079445168 70.6508983001774 1007.3041461777319 1.0073041461777319e+03 1008.138306057739 1009.9627439914912   
11 231 1.3745489364034245 93.72746236325384 1007.0165052402929 1.0070165052402929e+03 1008.1473055454169 1009.3448808254311   
12 252 1.2640124069540433 103.66875193314014 1007.0165052402929 1.0072775016570316e+03 1008.0307127941376 1012.0483623058777   
13 273 1.4072314290968986 108.39992282228371 1005.999844811114 1.0059998448111140e+03 1007.7425976557263 1009.8313054890605   
14 294 1.838751164267867 148.85606029374867 1005.5208789298435 1.0055208789298435e+03 1007.2184099719764 1010.0200251295498   
15 315 1.543775716414974 214.39681246698424 1005.5208789298435 1.0059376635673448e+03 1007.8654758055144 1010.2918271089977   
16 336 1.3694587102300348 212.63586287572264 1005.3798625762674 1.0053798625762674e+03 1006.4339472071998 1009.3307034504681   
17 357 1.1570065085255647 186.88674191678294 1005.3142647553728 1.0053142647553728e+03 1006.3122178304071 1006.9728649609476   
18 378 1.0436546949177206 185.26629376494998 1005.2752401676012 1.0052752401676012e+03 1005.9178534972037 1006.6035416868859   
19 399 0.9752815499729734 168.15183217182621 1005.0495175942763 1.0050495175942763e+03 1005.4240132831067 1006.19099580022   
20 420 0.820325319509636 142.94772576540424 1005.0495175942763 1.0051013859063883e+03 1005.5145712318335 1005.8773882442935   
21 441 0.693811603154861 125.74670272281506 1005.0423006425118 1.0050423006425118e+03 1005.2557250300805 1005.4202140207102   
22 462 0.5680629168446236 117.30348001941816 1005.0423006425118 1.0050598361901289e+03 1005.2085277887772 1005.3947946440113   
23 483 0.42395572890862604 102.03484963613856 1005.0396828431465 1.0050396828431465e+03 1005.1405245728918 1005.2763569463149   
24 504 0.4576708664481863 80.93968185014825 1005.011604004034 1.0050116040040340e+03 1005.0678070881798 1005.1552178959495   
