m_opt,l_opt,q11_opt,q22_opt,r_opt,Vol_opt
0.5020645207889257,0.618468079502389,9.97069261193975,1.0219125547076033,0.8384623524295949,-39.89393028502141
0.7443368013366444,0.6549717536469292,9.958830466002299,1.0529231208605627,0.885345728296733,-28.59271406475741
0.9807043381540567,0.4483444307960087,9.995040779551456,1.2035144707955845,0.8848800229575688,-22.445984087852295
0.6689111344068219,0.6208081918036803,9.988271436470065,1.1625954078947518,0.6666752535726246,-31.143000419762075
0.7558620294535783,0.6965626795477678,9.857176251030541,1.255167809518028,0.35009758327200974,-29.467513772093366
0.5522561115040039,0.3014975267770148,9.994287192003604,1.1413628894347112,0.9378801565322819,-91.4690390318327
0.5350600173040287,0.5446637478368758,9.799249568380755,1.025050223086831,0.6898492667973893,-36.39675730491922
0.9884146014130725,0.6436766549184183,9.965491330710641,1.0224619213588098,0.9999985048259503,-23.391406183244783
0.6294726728557197,0.6395958200993896,9.846469108121017,1.001111359011684,0.8051111523667944,-33.73311210691948
0.9837300504433037,0.30012247762782474,9.99980797892638,1.191117350156619,0.24809354110606346,-0.0011
0.6580989036817931,0.6333466729849777,9.980128934995902,1.0037025429814896,0.982629802584496,-33.03914283941152
0.504323558239418,0.3909213504052289,9.997459282699477,1.00084520277659,0.9734482166097371,-68.96669352649454
0.9359023158714123,0.30566223673925363,9.999960351053213,1.1378386650544625,0.2512993651337465,-0.0012
0.5932035087453739,0.4051285070472814,9.971790533798917,1.1022253812758316,0.8272731650103828,-50.228577530338306
0.5033360741560382,0.487366879637963,9.99998764843874,1.0130579090397935,0.8790058771055121,-54.07164005739932
0.7058552027091719,0.5810802935362628,9.991210712812897,1.0207251525392076,0.9935501216442681,-32.31029026202351
0.5027390866651829,0.6117305827419826,9.998595058410933,1.2623380686285737,0.6940299964654357,-37.5420630642353
0.5040054039234477,0.30261582725098085,9.959133768420264,1.016963376511981,0.9038056424165856,-119.55338173144192
